Alliances,1,2,3,Results
1,70,862,910,W
2,302,68,3421,SF
3,3656,1684,3667,F
4,1189,326,4294,QF
5,3707,314,1502,SF
6,3322,703,3773,QF
7,2604,4819,2337,QF
8,4405,1504,468,QF
