Alliances,1,2,3,Results
1,3928,2574,4239,F
2,967,2175,4607,W
3,2220,3883,4226,QF
4,3747,171,2513,SF
5,2225,3130,3291,SF
6,2531,2177,2491,QF
7,3691,1816,2883,QF
8,4225,4663,2143,QF
