Alliances,1,2,3,Results
1,293,1647,3607,QF
2,225,1403,203,SF
3,316,2729,2495,W
4,365,1089,433,F
5,87,1626,484,QF
6,2559,2191,816,QF
7,3151,4575,204,QF
8,1923,1712,1279,SF
