Alliances,1,2,3,Results
1,20,195,95,W
2,177,175,1699,SF
3,1218,2170,1071,QF
4,236,694,1991,SF
5,228,2168,263,QF
6,2067,230,4134,F
7,3525,3464,571,QF
8,839,4055,558,QF
