Alliances,1,2,3,Results
1,3824,4265,4576,W
2,2614,3196,4462,QF
3,1249,1311,4642,SF
4,1319,1225,4016,SF
5,4504,4098,3844,QF
6,3227,4020,3259,QF
7,829,4092,2393,F
8,3843,3984,547,QF
