Alliances,1,2,3,Results
1,2590,341,3123,W
2,816,3974,1143,F
3,2729,25,2539,QF
4,365,103,2559,SF
5,2607,1218,357,QF
6,486,272,1640,SF
7,1168,2234,3151,QF
8,1403,222,4342,QF
