Alliances,1,2,3,Results
1,4464,2974,623,SF
2,116,2415,4466,F
3,612,2630,1735,SF
4,422,2642,166,QF
5,79,379,383,W
6,836,138,611,QF
7,620,2914,1885,QF
8,2534,1522,2961,QF
