Alliances,1,2,3,Results
1,686,128,1719,SF
2,1699,250,2534,SF
3,375,365,1389,F
4,2377,2537,4050,QF
5,329,1708,2638,W
6,449,1885,888,QF
7,2641,1559,3455,QF
8,2866,2199,87,QF
