Alliances,1,2,3,Results
1,3266,3138,4008,QF
2,279,48,1008,SF
3,379,1985,447,W
4,3324,4085,3010,F
5,2783,4028,451,QF
6,4521,3496,4753,QF
7,1038,1014,1018,QF
8,378,3301,3193,SF
