Alliances,1,2,3,Results
1,2052,525,3244,W
2,3313,3018,2846,SF
3,2502,2705,2501,F
4,3007,3102,3038,SF
5,2518,3299,3184,QF
6,3202,2538,2823,QF
7,2500,2509,2181,QF
8,4549,2232,3630,QF
