27 	88 	4450 - Olympia Robotics Federation 	39 [Auburn Mountainview District Event] 	44 [Auburn District Event] 	Qualified 	--- 	5
28 	87 	488 - Team XBot 	58 [Glacier Peak District Event] 	29 [Shorewood District Event] 	Qualified 	--- 	0
29 	87 	948 - NRG (Newport Robotics Group) 	51 [Mount Vernon District Event] 	36 [Shorewood District Event] 	Qualified 	--- 	0
30 	82 	3663 - CPR - Cedar Park Robotics 	36 [Mount Vernon District Event] 	46 [Auburn District Event] 	Qualified 	--- 	0
31 	80 	4559 - FIRST DRaFT 	33 [Auburn Mountainview District Event] 	42 [Shorewood District Event] 	Qualified 	--- 	5
32 	80 	492 - Titan Robotics Club 	56 [Glacier Peak District Event] 	24 [Shorewood District Event] 	Qualified 	--- 	0
33 	79 	2412 - Robototes 	51 [Glacier Peak District Event] 	28 [Shorewood District Event] 	Qualified 	--- 	0
34 	73 	4038 - Binary Robotics 	46 [Glacier Peak District Event] 	27 [Central Washington University District Event] 	Qualified 	--- 	0
35 	73 	2411 - Rebel @lliance 	29 [Oregon City District Event] 	44 [Wilsonville District Event] 	Qualified 	--- 	0
36 	73 	5111 - SaxonBots 	17 [Eastern Washington University District Event] 	46 [Central Washington University District Event] 	Qualified 	--- 	10
37 	71 	2923 - Aggies 	43 [Eastern Washington University District Event] 	28 [Central Washington University District Event] 	Qualified 	--- 	0
38 	71 	3789 - On Track Academy 	28 [Eastern Washington University District Event] 	43 [Central Washington University District Event] 	Qualified 	--- 	0
39 	71 	3812 - Bits & Bots 	23 [Oregon City District Event] 	48 [Central Washington University District Event] 	Qualified 	--- 	0
40 	70 	3674 - 4-H Clover Bots 	42 [Oregon City District Event] 	28 [Wilsonville District Event] 	Qualified 	--- 	0
41 	70 	1540 - Flaming Chickens 	39 [Oregon City District Event] 	31 [Wilsonville District Event] 	Qualified 	--- 	0
42 	70 	5085 - LakerBots 	35 [Wilsonville District Event] 	25 (IP) [Oregon State University District Event] 	Qualified 	--- 	10
43 	69 	2903 - NeoBots 	40 [Mount Vernon District Event] 	29 [Shorewood District Event] 	Qualified 	--- 	0
44 	69 	2927 - Pi Rho Techs 	35 [Auburn Mountainview District Event] 	34 [Auburn District Event] 	Qualified 	--- 	0
45 	68 	2002 - Tualatin Robotics 	29 [Oregon City District Event] 	39 [Wilsonville District Event] 	Qualified 	--- 	0
46 	67 	4131 - Iron Patriots 	26 [Auburn Mountainview District Event] 	41 [Shorewood District Event] 	Qualified 	--- 	0
